code,label
k1to5,Share of 1-5 years olds in kindergarten
men_muni_pct,Gender distribution among municipality representatives
men_hed_share,The relationship between women and men with higher education
workforce_mwr,Ratio between men and women in the work force
"income_mwr,",Ratio between men and women's gross income
ptwork_r,Ratio between men and women's part time work
ffquota_share,Share of fathers taking the full fathers quota or more of parents money period
busbal_lev,Level of gender balanced business structure
pubsec_bal,Gender balance in public sector
privsec_bal,Gender balance in private sector
leader_dist,Gender distribution among leaders
secscho_bal,Level of gender balance in educational programs in upper secondary school
