kommune,k1to5,men_muni_pct,men_hed_share,workforce_mwr,income_mwr,ptwork_r,ffquota_share,busbal_lev,pubsec_bal,privsec_bal,leader_dist,secscho_bal
Halden,0.89,0.72,0.81,0.91,0.7,0.39,0.65,0.58,0.61,0.72,0.67,0.66
Moss,0.86,0.77,0.87,0.93,0.7,0.42,0.6,0.63,0.63,0.78,0.7,0.71
Sarpsborg,0.88,0.88,0.78,0.9,0.7,0.39,0.64,0.58,0.55,0.71,0.64,0.66
Fredrikstad,0.9,0.75,0.81,0.92,0.69,0.43,0.64,0.6,0.59,0.72,0.63,0.69
Hvaler,0.93,0.86,0.77,0.92,0.65,0.43,0.68,0.56,0.58,0.7,0.64,0.67
Aremark,0.81,0.94,0.64,0.9,0.63,0.27,0.8,0.46,0.55,0.57,0.78,0.57
Marker,0.86,0.64,0.61,0.91,0.66,0.35,0.69,0.5,0.55,0.67,0.76,0.59
Rømskog,0.81,0.46,0.5,0.94,0.85,0.21,0.76,0.4,0.37,0.5,0.75,0.73
Trøgstad,0.9,0.67,0.59,0.93,0.7,0.32,0.71,0.53,0.5,0.61,0.63,0.68
Spydeberg,0.95,0.86,0.72,0.95,0.69,0.42,0.66,0.58,0.57,0.75,0.64,0.67
Askim,0.84,0.63,0.81,0.89,0.68,0.36,0.61,0.61,0.56,0.73,0.68,0.71
Eidsberg,0.89,0.91,0.7,0.89,0.69,0.37,0.56,0.56,0.54,0.7,0.68,0.67
Skiptvet,0.9,0.86,0.68,0.89,0.65,0.37,0.72,0.48,0.45,0.62,0.68,0.64
Rakkestad,0.85,0.72,0.55,0.91,0.63,0.36,0.68,0.51,0.42,0.67,0.75,0.67
Råde,0.89,0.89,0.76,0.92,0.64,0.36,0.78,0.56,0.52,0.68,0.72,0.68
Rygge,0.91,0.52,0.84,0.92,0.66,0.37,0.67,0.6,0.67,0.77,0.6,0.69
Våler (Østf.),0.9,0.57,0.64,0.9,0.68,0.37,0.71,0.53,0.58,0.73,0.68,0.67
Hobøl,0.88,0.86,0.66,0.96,0.74,0.41,0.7,0.52,0.54,0.69,0.6,0.61
Vestby,0.94,0.97,0.8,0.91,0.65,0.41,0.73,0.64,0.64,0.77,0.66,0.72
Ski,0.91,0.73,0.88,0.96,0.68,0.41,0.74,0.66,0.6,0.77,0.64,0.73
Ås,0.93,0.97,0.9,0.92,0.72,0.48,0.72,0.69,0.73,0.77,0.73,0.71
Frogn,0.94,0.97,0.87,0.93,0.61,0.35,0.75,0.66,0.61,0.81,0.67,0.77
Nesodden,0.93,0.9,0.84,0.95,0.71,0.47,0.79,0.68,0.65,0.8,0.76,0.78
Oppegård,0.93,0.77,0.93,0.97,0.65,0.41,0.8,0.69,0.59,0.81,0.75,0.77
Bærum,0.93,0.94,0.96,0.95,0.59,0.44,0.75,0.7,0.63,0.83,0.72,0.78
Asker,0.91,0.89,0.96,0.94,0.58,0.43,0.71,0.69,0.64,0.82,0.67,0.79
Aurskog-Høland,0.91,0.69,0.64,0.91,0.7,0.33,0.72,0.53,0.53,0.67,0.62,0.67
Sørum,0.89,0.84,0.75,0.93,0.68,0.38,0.76,0.59,0.59,0.72,0.71,0.71
Fet,0.85,0.96,0.76,0.94,0.69,0.39,0.77,0.6,0.57,0.73,0.72,0.71
Rælingen,0.89,0.91,0.8,0.93,0.69,0.46,0.77,0.63,0.59,0.75,0.69,0.71
Enebakk,0.87,0.59,0.7,0.93,0.7,0.35,0.74,0.57,0.56,0.73,0.74,0.67
Lørenskog,0.95,0.98,0.87,0.94,0.69,0.47,0.69,0.64,0.59,0.76,0.7,0.73
Skedsmo,0.89,0.98,0.89,0.94,0.69,0.46,0.69,0.66,0.61,0.77,0.69,0.72
Nittedal,0.96,0.97,0.83,0.95,0.69,0.39,0.78,0.63,0.63,0.79,0.69,0.72
